@relation breast_cancer-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R31_ICA-weka.filters.unsupervised.attribute.IndependentComponents-W-A30-N200-T1.0E-4

@attribute Source_0 numeric
@attribute Source_1 numeric
@attribute Source_2 numeric
@attribute Source_3 numeric
@attribute Source_4 numeric
@attribute Source_5 numeric
@attribute Source_6 numeric
@attribute Source_7 numeric
@attribute Source_8 numeric
@attribute Source_9 numeric
@attribute Source_10 numeric
@attribute Source_11 numeric
@attribute Source_12 numeric
@attribute Source_13 numeric
@attribute Source_14 numeric
@attribute Source_15 numeric
@attribute Source_16 numeric
@attribute Source_17 numeric
@attribute Source_18 numeric
@attribute Source_19 numeric
@attribute Source_20 numeric
@attribute Source_21 numeric
@attribute Source_22 numeric
@attribute Source_23 numeric
@attribute Source_24 numeric
@attribute Source_25 numeric
@attribute Source_26 numeric
@attribute Source_27 numeric
@attribute Source_28 numeric
@attribute Source_29 numeric
@attribute Benign? {0,1}

@data
0.044389,-0.054459,-0.060578,-0.077444,0.044647,-0.019132,0.064187,-0.049839,-0.11195,-0.051728,-0.001996,-0.011659,-0.040834,-0.171137,-0.053073,0.028301,0.095397,-0.096244,0.049768,-0.001517,-0.019712,-0.08526,0.023725,0.003419,0.078328,-0.04144,0.003912,-0.09701,-0.178898,-0.104431,0
0.042593,0.118918,-0.056939,0.031219,0.021949,-0.046296,-0.060134,-0.038236,-0.022899,0.043975,0.035311,-0.036719,-0.019536,-0.012637,0.043111,-0.048522,-0.025173,-0.00189,-0.048791,0.068537,-0.011768,0.047393,0.063604,0.034121,-0.007867,-0.018831,-0.012845,0.025711,0.015344,0.097475,0
0.006839,-0.009327,0.046972,-0.007674,-0.013274,-0.030752,-0.058209,0.014186,-0.002067,0.02188,-0.006408,0.022474,-0.069481,0.006076,0.037794,-0.04883,0.084015,0.006612,0.049263,-0.012327,-0.041314,-0.027971,0.054437,-0.051694,-0.041843,0.02273,0.0245,0.030367,0.030285,0.046407,0
0.09604,0.047221,0.036144,-0.10996,0.020078,-0.191927,-0.055995,-0.0585,-0.071203,-0.106756,0.029053,0.132308,0.087131,-0.029503,0.115856,-0.096425,0.09096,-0.002411,0.034793,-0.037103,-0.093378,-0.095906,0.010654,0.047861,-0.136055,0.015978,-0.055365,0.072976,-0.001293,-0.067231,0
-0.062585,0.033123,-0.037627,0.017845,-0.043776,-0.018411,0.082476,-0.018191,0.002208,-0.009749,0.071831,-0.070693,-0.036765,0.038789,-0.012223,0.011195,-0.037038,-0.029812,0.020803,0.050658,0.018902,-0.015297,-0.027124,-0.023866,0.014244,0.044871,0.042181,0.044116,-0.014988,0.065753,0
-0.016479,-0.025296,-0.032025,-0.057072,0.001141,-0.002376,0.008316,0.015732,-0.024579,0.013977,0.016128,0.017603,0.057723,0.036149,0.003204,-0.060265,0.041142,-0.021807,0.020877,-0.040561,-0.023164,-0.056156,0.017699,-0.002944,-0.026252,0.017578,0.019195,0.01051,-0.028927,-0.030201,0
-0.026065,0.013147,-0.01908,-0.003018,0.025698,-0.059873,0.024628,0.011588,0.010134,0.01341,0.029535,-0.031424,-0.001006,-0.029417,0.001343,-0.007675,-0.027199,0.007833,-0.05953,0.051794,-0.014508,0.007304,0.046144,0.023593,0.035693,-0.061374,-0.009034,-0.030823,0.019075,0.031267,0
-0.030544,0.01006,-0.036694,-0.022102,0.016995,-0.005546,-0.055285,-0.063397,-0.036297,0.055919,0.000364,0.02517,0.020685,-0.041154,0.041785,-0.047362,-0.063535,0.013815,0.015501,0.061571,0.004537,-0.035512,-0.028653,0.023625,-0.053444,-0.048161,-0.011452,0.00804,-0.013762,0.011196,0
-0.024703,-0.049744,0.050894,-0.037613,-0.056869,-0.009892,-0.003028,0.013006,-0.033304,-0.005879,-0.046818,0.016092,0.024298,-0.00938,0.030128,-0.045722,0.026381,0.016573,0.061451,-0.059036,-0.019001,-0.056709,0.034562,-0.015676,-0.060087,0.005285,0.009827,-0.086067,-0.000212,0.001783,0
-0.036485,0.053671,-0.152386,-0.068325,0.014249,0.226496,-0.22708,0.024772,-0.046632,-0.074526,0.057459,0.066123,0.096287,0.082843,0.022438,-0.018161,-0.043604,-0.060881,-0.019356,-0.060346,-0.047461,-0.105324,0.03519,0.036991,-0.096045,0.121405,0.140633,0.122601,-0.023477,0.010122,0
