@relation 'breast_cancer-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.95-A5-M-1'

@attribute '-0.261mean concave points-0.258mean concavity-0.251worst concave points-0.239mean compactness-0.237worst perimeter...' numeric
@attribute '-0.367mean fractal dimension-0.28fractal dimension error-0.275worst fractal dimension+0.234mean radius-0.233compactness error...' numeric
@attribute '-0.375texture error-0.309smoothness error-0.289symmetry error+0.271worst symmetry-0.268radius error...' numeric
@attribute '-0.633worst texture-0.603mean texture-0.36texture error+0.159mean smoothness+0.108area error...' numeric
@attribute '-0.365mean smoothness+0.354concavity error-0.324worst smoothness-0.306mean symmetry+0.28 compactness error...' numeric
@attribute '0.499worst symmetry+0.49 symmetry error-0.369worst smoothness+0.356mean symmetry-0.343smoothness error...' numeric
@attribute '-0.375worst fractal dimension+0.37 concave points error-0.347area error-0.315perimeter error-0.312radius error...' numeric
@attribute '0.573smoothness error-0.475texture error-0.289mean smoothness-0.232mean symmetry+0.228worst symmetry...' numeric
@attribute '-0.358concavity error+0.304symmetry error-0.273concave points error-0.256mean symmetry-0.25radius error...' numeric
@attribute '0.572mean symmetry+0.368fractal dimension error-0.317symmetry error-0.312worst concavity-0.289texture error...' numeric
@attribute Benign? {0,1}

@data
-9.184755,-1.946868,1.122179,3.630538,-1.19406,1.410181,-2.15747,-0.398055,0.156978,-0.876629,0
-2.3857,3.764857,0.528825,1.117282,0.621228,0.028633,-0.013346,0.240782,0.711276,1.10602,0
-5.72886,1.074226,0.551259,0.911281,-0.176927,0.540974,0.66758,0.097285,-0.024046,0.453878,0
-7.116693,-10.266557,3.229947,0.152413,-2.958274,3.050742,-1.428655,1.058638,1.404197,-1.115993,0
-3.931846,1.946362,-1.388546,2.938053,0.546266,-1.225423,0.935383,0.635815,0.263575,0.377377,0
-2.378156,-3.946456,2.932298,0.940212,-1.055111,-0.450643,-0.490012,-0.165295,0.133359,-0.529962,0
-2.236916,2.687664,1.638469,0.149212,0.040325,-0.128832,0.301299,0.083624,0.079957,0.218949,0
-2.141414,-2.338186,0.871181,-0.126933,-1.426187,-1.255934,-0.973247,-0.652764,-0.247965,0.999701,0
-3.172132,-3.388832,3.117241,-0.600769,-1.520952,0.559049,0.214911,-0.686738,-0.511472,0.029163,0
-6.346165,-7.720379,4.338102,-3.372233,1.708757,-0.723271,-2.51763,0.364831,0.71677,-1.164604,0
0.809697,2.656937,0.4884,-1.671094,0.275569,0.127221,-0.624465,0.165606,0.301113,0.375905,0
-2.648768,-0.066504,1.525117,0.051218,0.331662,0.764195,-0.66551,0.619003,0.400583,-0.330779,0
-8.177839,-2.698601,-5.725189,-1.111281,1.042555,2.592293,-0.940666,-3.31886,0.747132,0.395596,0
-0.341826,0.967423,-1.715661,-0.594479,0.467601,1.006777,1.7975,1.105684,-0.267391,0.439196,0
-4.338563,-4.856809,2.813644,-1.453278,1.288929,-0.349408,-0.742227,-0.280681,0.674512,-0.115552,0
-4.072074,-2.974443,3.12253,-2.45591,-0.407987,0.495345,-0.914256,0.302251,-0.456537,0.446765,0
-0.229851,1.563377,0.801813,-0.650012,-0.494275,-0.761516,0.086778,0.029483,-0.502785,-0.499236,0
-4.414127,-1.417421,2.268323,-0.186109,-1.422612,-0.751826,-0.441595,-0.413405,-0.018655,0.356313,0
-4.944352,4.110718,0.314475,-0.088132,-0.056665,-1.136691,0.25106,0.741499,-0.410085,-0.570824,0
1.235978,0.188046,0.592761,1.594943,-0.441764,-0.048593,1.200633,0.403269,-0.404945,0.005921,1
1.576774,-0.572305,1.799863,1.12429,-0.394925,0.430463,-0.338181,-0.861198,0.187036,0.360607,1
3.554209,-1.661488,-0.45079,2.071942,-0.490312,-0.769389,0.190869,-0.244248,-0.546415,0.007629,1
-4.729054,-3.302059,1.465246,2.039359,-0.026194,3.020387,1.006293,0.104543,-0.168365,-0.245401,0
-4.204822,5.123863,0.751741,-0.861952,-0.470554,-0.595319,0.074764,0.180098,0.363805,0.690937,0
