@relation 'digits-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.95-A5-M-1'

@attribute -0.286X3-0.28X59-0.246X10+0.239X34+0.235X35... numeric
@attribute '0.274X6+0.267X15-0.258X55-0.252X61+0.25 X7...' numeric
@attribute -0.323X44-0.277X36-0.269X45-0.248X37+0.221X39... numeric
@attribute 0.252X62-0.223X26+0.214X29-0.211X19+0.203X21... numeric
@attribute -0.317X16-0.282X8-0.249X56-0.244X63-0.237X24... numeric
@attribute '0.359X50+0.286X49+0.281X32+0.265X24+0.26 X58...' numeric
@attribute 0.278X27+0.262X26+0.257X28-0.25X52-0.234X4... numeric
@attribute -0.367X53-0.351X64+0.293X36+0.256X47+0.221X28... numeric
@attribute '-0.27X17-0.231X25+0.22 X64-0.217X13+0.215X58...' numeric
@attribute -0.351X17-0.294X25+0.241X51-0.209X10-0.205X9... numeric
@attribute -0.368X49-0.295X57-0.277X6-0.232X41-0.198X50... numeric
@attribute -0.38X49-0.333X32+0.262X17-0.237X60-0.221X41... numeric
@attribute -0.456X48-0.269X39-0.258X12-0.251X56-0.237X20... numeric
@attribute 0.343X46+0.272X17+0.267X37+0.262X60+0.239X38... numeric
@attribute 0.337X25-0.311X13-0.3X5+0.284X17+0.263X28... numeric
@attribute -0.366X9-0.341X48-0.292X5-0.257X56-0.223X36... numeric
@attribute 0.457X57-0.39X41+0.248X58-0.24X42-0.223X8... numeric
@attribute '-0.547X9-0.366X57+0.33 X5+0.264X25+0.22 X32...' numeric
@attribute 0.408X57-0.288X41-0.269X30-0.242X37-0.236X22... numeric
@attribute '0.36 X9-0.304X48-0.244X50-0.239X29-0.229X42...' numeric
@attribute -0.399X48+0.351X64+0.289X35-0.247X61-0.247X41... numeric
@attribute 0.456X32-0.326X41-0.313X5+0.291X48-0.267X31... numeric
@attribute -0.294X54+0.276X50-0.27X13+0.257X5-0.237X35... numeric
@attribute '-0.402X8+0.29 X15-0.256X41-0.239X22-0.225X16...' numeric
@attribute '0.293X61-0.28X24+0.237X60-0.227X50+0.22 X39...' numeric
@attribute -0.388X12+0.295X52+0.281X44-0.237X26+0.224X53... numeric
@attribute 0.331X26-0.3X19+0.287X52-0.224X24+0.219X50... numeric
@attribute '0.385X52-0.294X50-0.234X36-0.231X13+0.23 X24...' numeric
@attribute -0.328X18+0.285X59-0.285X10+0.269X3-0.266X56... numeric
@attribute '0.473X53-0.321X23-0.252X46+0.23 X39-0.206X42...' numeric
@attribute 0.395X50+0.323X47+0.289X55+0.275X45-0.237X48... numeric
@attribute -0.389X17+0.347X25-0.345X39+0.242X12-0.219X54... numeric
@attribute -0.333X31-0.285X12+0.267X15-0.257X8+0.243X13... numeric
@attribute 0.472X17-0.427X25-0.275X44-0.269X39-0.249X9... numeric
@attribute -0.333X20+0.303X29+0.266X56+0.246X19+0.221X31... numeric
@attribute -0.374X56+0.296X49-0.261X44+0.261X64-0.248X7... numeric
@attribute -0.448X49+0.397X32-0.233X21+0.231X42+0.228X57... numeric
@attribute -0.344X51+0.254X35-0.251X26-0.203X23+0.198X24... numeric
@attribute -0.379X31-0.271X51-0.262X7+0.254X44+0.241X42... numeric
@attribute '0.341X61+0.31 X51-0.229X23+0.223X14-0.209X5...' numeric
@attribute Digit? {0,1,2,3,4,5,6,7,8,9}

@data
1.913681,-0.954237,3.944937,-2.028159,0.267099,0.530179,-1.414926,-1.495645,-0.124879,0.822017,0.499553,0.789246,-0.228062,-0.195088,0.836807,-0.104312,0.185271,0.090031,0.412639,0.430397,-0.450868,0.558548,-0.508684,0.758685,-0.46437,-0.731973,-0.327226,-0.156978,-0.404804,-0.324503,0.534534,-0.017974,0.047937,-0.019119,0.117156,0.708852,0.082387,-0.813833,-0.024923,-0.321842,0
0.588817,0.924379,-3.923663,1.779355,0.993153,-0.675464,1.878042,-0.556181,-1.079577,-0.087426,0.50486,-0.641414,0.048348,-0.391945,-0.744205,0.214013,-0.101699,0.421883,0.552931,-0.069657,-0.909565,-0.242367,0.478339,-0.491022,0.790285,-0.067769,1.52513,0.742276,0.855619,-0.277007,1.097891,-1.143839,0.037733,-0.371576,-0.671113,-0.004144,-0.246697,-0.200206,-0.087084,0.489007,1
1.301677,-0.3171,-3.022492,2.042807,2.080576,0.93486,-1.295839,-1.155839,-0.785386,1.0989,-2.195842,2.309633,0.566717,-0.995495,-1.170179,-0.398907,-0.240231,0.465094,-1.065259,-1.133138,0.52577,0.069243,1.275787,0.389329,-0.407467,0.121579,-0.373314,-0.205041,0.362037,1.180856,-0.749584,0.487168,-1.356582,0.106986,0.149462,-0.089265,0.408102,0.214537,1.278518,-0.545683,2
-3.019929,-0.868531,0.801521,2.18643,0.556658,0.726921,0.959498,1.382254,-0.259003,-0.744347,1.064833,-0.491618,0.166532,1.008509,-0.141854,1.000503,-0.950422,0.399922,1.49041,0.308043,-0.560265,-0.16793,-0.573172,0.532849,-0.084294,0.466662,-0.154189,0.403132,-0.291852,-1.244192,0.268524,0.875337,0.117549,0.470443,-0.148812,0.233979,0.396615,-0.197382,-0.772535,0.050312,3
4.527688,-1.093175,-0.972851,1.419115,1.714629,1.431193,1.073351,0.967971,1.659754,-1.174266,1.017157,1.365614,0.343621,-0.113437,0.732432,-0.210633,-0.094385,0.552216,1.613527,1.086065,-0.495506,-0.185646,-0.960597,0.18459,0.56384,2.141885,-0.064438,-0.74646,-1.076007,0.297581,-0.660271,-0.360153,0.268046,-0.499304,-0.263033,-0.582846,-0.174279,0.215519,0.133389,-0.184942,4
-1.301527,-1.147863,1.574169,2.412976,0.630801,0.740597,1.306436,-0.441505,-0.867617,0.818775,2.784421,-1.154276,-1.619033,0.182675,0.990006,1.647117,0.011285,-1.386294,-0.764531,1.041071,0.027293,0.880995,-0.377334,0.221216,0.228343,-0.908007,-1.446406,-0.05455,0.215415,0.206775,0.243858,-0.461772,-0.512539,-0.298456,-0.640745,0.593804,0.030046,-0.196621,0.611734,0.59247,5
1.433823,-2.957021,-2.830491,0.076931,-0.522886,0.0109,0.983444,0.732089,-1.089349,1.725763,-0.066933,0.297594,0.045759,0.383454,-0.252481,-0.199383,0.572057,0.87825,0.523876,1.58379,-0.092204,-0.21761,-0.289481,-0.697356,-0.337783,1.507556,-0.02149,0.220352,-0.186438,-0.555544,0.091809,-0.395665,0.023856,-0.339021,-0.211898,-0.359836,-0.190802,0.737856,-0.31461,-0.781611,6
0.614069,5.460665,-0.658058,-0.434309,-0.849939,-0.953747,-1.833356,2.086923,1.184612,0.019123,-2.22119,1.015536,0.151012,-1.479238,1.179527,0.557401,-1.089341,-0.02979,-0.289766,0.248429,1.369198,0.326025,-1.107463,1.136931,0.298488,0.271015,1.427187,1.036387,1.651793,0.589227,-0.223559,0.260488,0.15803,-0.243886,0.043214,-1.195987,0.084113,-0.36856,-0.294665,0.52268,7
-1.098146,-0.665638,0.041011,1.102219,0.900474,0.75492,-0.966199,0.386264,-1.223659,1.52393,0.630915,-0.140342,0.99787,0.363013,1.642049,-1.31282,1.0319,-0.725621,-1.381428,-0.04539,-0.006117,-0.350384,-1.030692,-0.567652,0.077849,-0.603584,-0.868196,-0.856351,0.130847,-0.859264,-0.008348,0.537477,-1.064545,-0.134116,-0.646498,-0.577979,0.412172,-0.61199,0.638563,0.51485,8
-0.53782,-0.777276,1.568485,0.759771,0.121309,-0.600821,0.674999,0.139362,-0.37766,-0.293032,2.008658,-0.903046,-0.725379,-0.600144,0.383046,1.373157,0.977118,-1.593047,-1.3823,0.850006,0.322294,1.114037,-1.764171,-0.726235,-0.333461,-1.5722,-1.473209,-1.441097,-0.249456,0.712647,0.408357,0.259421,0.162215,0.380527,-0.719991,-0.381932,0.080341,0.314029,1.2248,-0.236397,9
