@relation breast_cancer-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.supervised.attribute.NominalToBinary-weka.filters.unsupervised.attribute.RandomProjection-N10-R42-DSparse1

@attribute K1 numeric
@attribute K2 numeric
@attribute K3 numeric
@attribute K4 numeric
@attribute K5 numeric
@attribute K6 numeric
@attribute K7 numeric
@attribute K8 numeric
@attribute K9 numeric
@attribute K10 numeric
@attribute Benign? {0,1}

@data
2.851513,2.970907,2.150642,-0.674998,0.017442,-2.057993,-2.338778,3.599375,-0.512296,-6.119327,0
2.371999,2.334896,2.23593,-0.24525,-0.227481,-1.378042,-0.887487,1.988526,-1.268199,-3.062581,0
2.858828,2.67981,2.238573,-0.121212,-0.276165,-1.823946,-1.614393,2.958289,-1.36717,-4.549548,0
1.846979,2.101298,1.649635,-0.273986,-1.156963,-1.82589,-3.444211,3.558285,-1.28038,-8.590087,0
3.141033,2.923163,1.826926,-0.877803,-0.580649,-1.636513,-1.074441,1.92732,-0.67691,-2.816628,0
1.008589,1.610315,1.390688,-0.087721,-1.081065,-1.730736,-2.323297,2.021778,-0.478502,-4.912749,0
1.76104,2.054583,2.005315,-0.140168,-0.560514,-1.442052,-1.207364,1.878042,-1.090092,-3.210462,0
1.008523,1.572723,0.922852,-0.263873,-1.313385,-2.100839,-2.061951,2.233675,-0.767664,-4.588694,0
1.193121,1.547227,1.419395,0.025466,-1.008014,-1.870156,-2.650996,2.238305,-0.954892,-5.354027,0
1.057798,1.950703,0.616724,1.875078,-1.63312,-1.511311,-1.758317,3.604748,-0.037033,-7.480573,0
1.283344,1.333359,0.958761,-0.044192,-1.088561,-0.769796,-0.948828,1.445287,-1.227085,-2.446063,0
1.628519,2.084781,1.811848,0.226256,-0.64876,-1.196911,-1.319873,2.72547,-0.920209,-4.257301,0
3.744114,2.16784,0.447241,-1.757974,-0.231558,-1.165542,-1.235364,4.811455,-0.422222,-6.211979,0
2.398539,2.056161,1.11122,-0.536577,-1.009884,-0.938713,-1.028556,1.770182,-1.132456,-2.689658,0
1.336213,2.008498,1.068019,0.723497,-0.960633,-1.524153,-1.600704,3.119649,-0.49838,-6.099225,0
1.238046,1.956674,1.110788,1.036787,-1.474696,-1.965472,-2.18955,2.571048,-1.099239,-5.313534,0
1.074292,1.369037,1.326444,-0.245525,-1.009243,-1.15662,-1.277287,1.355593,-0.767754,-2.770128,0
1.575738,1.970665,1.271012,-0.086533,-1.209515,-1.989976,-2.079538,2.383751,-0.920317,-4.925246,0
2.322614,2.623539,2.300531,-0.097398,-0.646169,-1.517076,-0.764333,2.217699,-0.9651,-2.960137,0
1.204117,1.461279,1.590404,-0.664723,-0.797999,-1.316733,-1.579596,1.142282,-0.570468,-2.711799,1
0.790006,1.177921,1.166696,-0.727371,-0.784505,-1.269027,-1.822448,1.643372,-0.771031,-2.987105,1
0.625735,0.806311,0.56592,-0.910465,-0.96248,-1.163481,-1.557427,0.738337,-0.199177,-2.177933,1
2.46246,2.440378,2.248446,-0.569133,0.023708,-1.479461,-2.312755,3.137416,-0.731712,-5.790542,0
2.323179,2.44269,2.174921,-0.238051,-0.858242,-1.437713,-0.813877,2.209629,-1.406063,-3.088108,0
1.431358,2.267977,1.9186,-0.043521,-1.160831,-2.12052,-1.677375,2.167381,-1.085184,-3.930164,0
2.587876,2.476857,1.672179,-0.515521,-0.240242,-2.82825,-2.947881,3.117771,-1.042142,-6.153498,0
1.276733,1.652094,1.752875,0.858456,-0.462068,-1.595697,-2.16439,2.744674,-0.977403,-5.813109,0
2.705877,2.23447,1.186105,-0.940902,-1.065123,-1.301692,-0.912715,2.006602,-0.534024,-2.879578,0
1.427042,2.017529,1.395747,0.553853,-1.205261,-1.539189,-1.756043,2.500314,-1.05877,-4.440346,0
2.168346,2.164618,1.543495,-0.580325,-0.331482,-1.227196,-1.084304,2.291318,-0.794407,-2.91447,0
2.634416,2.38519,1.193991,-0.026102,-1.073568,-1.900006,-1.740682,2.556507,-0.965764,-4.52655,0
0.78642,1.561757,1.175763,0.414629,-1.107375,-1.787818,-2.484272,2.295137,-0.617353,-5.30762,0
2.288645,2.142973,1.360541,-0.251291,-1.268029,-1.987236,-2.091223,1.743588,-0.891727,-4.297424,0
2.028044,2.620345,1.863841,0.863684,-0.915489,-1.811174,-1.163379,3.009759,-1.512571,-4.233981,0
1.556658,1.941097,1.979667,0.487138,-0.579504,-1.345476,-1.836911,2.49055,-1.035512,-4.758099,0
1.759883,1.999197,2.366044,-0.353728,-0.918609,-1.35433,-1.921113,2.126524,-1.39281,-4.175618,0
1.356191,1.727353,1.273587,0.271009,-1.070496,-1.225047,-1.563167,1.812737,-0.785215,-3.715029,0
1.373113,0.27953,0.562127,-1.30656,-0.650666,-0.281437,-0.917615,0.827144,-0.108196,-1.755771,1
1.401224,0.843112,-0.042245,-0.724879,-0.99993,-1.72893,-1.075869,1.898307,-0.582459,-1.008263,0
0.772112,1.545467,1.60557,0.507635,-0.544927,-1.528273,-1.30672,1.853826,-0.595865,-3.789372,0
0.850437,1.06744,1.07746,0.052436,-0.709226,-0.881862,-1.248322,1.245388,-1.024442,-2.397851,0
0.248295,0.921765,0.559558,-0.310995,-1.972366,-1.633923,-1.996488,1.098271,-0.361384,-3.591581,0
3.780016,3.575897,1.885287,-0.469703,-0.389462,-1.031126,-1.16461,4.807149,-1.148554,-6.330466,0
0.930491,1.422596,1.177105,0.106024,-0.983387,-1.547832,-1.868613,1.884903,-0.971748,-3.967552,0
0.569429,1.196695,1.363339,0.628457,-0.869914,-1.370525,-1.660285,1.566467,-1.108126,-3.398899,0
2.316071,2.707713,2.611853,-0.330607,-0.390039,-1.805147,-1.530192,2.858913,-0.777854,-4.36291,0
0.451031,0.611804,0.236411,-0.57386,-1.402885,-0.846126,-1.463249,0.409999,-0.662825,-2.149778,1
0.83891,1.440432,1.652456,0.261412,-1.005113,-1.831703,-2.256673,1.71468,-0.71205,-4.664964,0
0.456231,1.094845,1.052489,-0.532131,-1.128017,-1.265325,-1.447494,1.059698,-0.353151,-2.233159,1
1.060029,0.976248,0.96128,-0.315221,-0.827479,-0.880008,-1.320888,1.342663,-0.794358,-2.770736,1
0.937526,0.740142,0.339177,-0.605314,-1.082296,-0.683627,-1.035884,0.867049,-0.800057,-1.471628,1
0.891904,1.05799,0.842435,-0.215672,-0.598896,-0.503395,-0.602213,1.179024,-0.608826,-1.900358,1
0.89516,1.049751,0.787236,-0.297171,-0.873161,-1.07387,-1.401347,0.670905,-0.900552,-2.056935,1
2.543286,1.787773,1.258834,-1.181794,-0.549121,-1.519265,-1.830267,2.211041,-0.842437,-3.783681,0
0.889858,1.413889,1.337077,0.036318,-0.946462,-1.149694,-1.068885,1.3831,-0.961785,-2.494435,0
1.170969,0.946349,1.000666,-0.870234,-1.110522,-0.974031,-1.846105,0.650349,-0.964184,-2.330171,1
2.117172,2.395024,2.321379,-0.558394,-0.822445,-1.719554,-1.451187,2.462157,-1.077788,-3.809344,0
1.423129,1.463633,1.349548,0.18036,-0.635976,-1.388568,-1.953996,2.246125,-1.002757,-4.482409,0
1.113515,0.939979,0.610421,-0.740518,-1.100105,-0.982475,-1.215009,0.713678,-0.813246,-1.630532,1
-0.016912,0.82107,0.652095,-0.588367,-1.555577,-1.397441,-1.67075,0.219808,-0.500836,-2.153216,1
1.041408,0.504229,0.79158,-1.82069,-1.083024,-1.607858,-3.000844,0.957166,-0.662961,-3.51796,1
0.565544,0.694521,0.36649,-1.600651,-2.190237,-1.230352,-1.890573,0.862494,-0.42018,-2.835404,1
1.659007,2.484263,0.480691,0.418387,-1.259757,-1.875825,-0.988102,3.110464,-0.229211,-4.737171,0
1.579161,0.666701,0.081055,-1.385156,-0.754681,-0.694608,-1.609093,1.30305,0.006836,-3.873318,1
0.709017,1.486174,0.979728,0.322312,-1.629236,-1.871909,-1.772832,1.791568,-0.839818,-3.979364,0
1.399598,1.506829,1.001112,-0.175422,-1.390593,-1.580226,-1.896192,1.856403,-1.047806,-3.932512,0
0.417603,0.507605,0.108018,-0.760968,-1.989243,-1.013622,-1.595508,0.723441,-0.440563,-3.032587,1
0.925712,0.996295,0.540312,-0.368089,-1.238442,-0.841986,-0.959979,0.499191,-0.592888,-1.604516,1
2.374652,2.859256,0.906609,-0.499984,-0.791551,-1.049053,-1.558065,2.087246,0.617053,-4.722876,1
1.086289,1.06413,1.054296,-0.88734,-1.04346,-0.918704,-1.293399,0.613595,-0.600069,-1.569617,1
2.219732,2.254829,1.732001,-0.233439,-0.318623,-1.318666,-0.766635,2.231579,-1.201768,-2.366042,0
1.521773,2.422632,-0.703756,-0.600828,-1.362604,-1.233066,-0.507299,1.997408,-0.211135,-4.741664,1
1.712988,2.579036,1.518577,0.904874,-1.116759,-1.733894,-1.071684,3.346753,-0.872737,-5.104342,0
0.877507,1.46911,1.228362,0.029419,-0.561645,-1.2749,-1.175087,1.838691,-0.545367,-3.119929,0
0.73927,0.99351,0.970125,-0.414319,-0.717123,-0.945365,-1.201129,1.194597,-0.508877,-2.350486,1
1.761937,2.116822,1.37935,-0.335441,-1.112044,-1.786974,-1.161943,1.704447,-0.805606,-2.458459,0
1.725952,1.718787,1.369839,-1.625473,-1.114557,-1.832098,-2.32616,1.006429,-0.399993,-3.360445,1
2.611226,2.995125,1.949056,-0.184058,-0.310072,-1.989454,-1.621234,3.74994,-1.160644,-5.13084,0
5.044828,3.37983,1.745424,-2.332205,-0.987589,-1.269872,-3.008423,3.995282,-1.321279,-7.182479,0
0.812399,1.046529,1.032612,-0.64327,-0.990231,-1.003625,-1.39154,1.383157,-0.645877,-2.561656,1
0.647562,0.781823,0.195791,-0.961153,-2.041617,-1.271256,-1.71327,0.873388,-0.320691,-3.089606,1
1.247586,1.578208,1.331476,-0.180937,-0.741028,-1.350622,-1.705334,2.218461,-0.38362,-4.380848,1
4.104077,3.801954,1.59251,0.102281,-0.655773,-1.943025,-0.424779,3.918398,-1.112133,-5.142457,0
3.223239,1.995889,0.605986,-1.096899,-0.981316,-0.971085,-0.79735,2.758061,-0.639629,-4.890698,0
0.643455,0.936064,1.163287,-0.752408,-1.151881,-1.204238,-1.869068,1.070297,-0.531397,-3.039952,1
2.370234,1.98041,1.746848,-0.746391,-0.810724,-1.514942,-1.835972,1.900772,-1.064165,-3.795672,0
1.803008,1.447496,1.112193,-1.007184,-1.196807,-1.267813,-1.517923,1.517315,-0.380604,-3.471517,0
2.294619,2.254569,2.101802,0.291956,-0.426403,-1.457328,-1.528507,2.173438,-1.460742,-3.902963,0
1.033918,1.089098,0.54707,-0.081282,-1.131235,-1.135515,-1.37508,1.481905,-0.651769,-3.50384,1
1.774072,1.954503,1.572595,-0.730193,-0.325667,-1.464305,-1.720803,2.409634,-0.734383,-3.729745,1
1.333357,1.233589,0.685629,-0.377861,-1.022559,-0.923112,-1.070471,1.57273,-1.131878,-2.2984,1
2.214517,1.963794,0.98492,-0.23819,-0.864151,-1.053561,-1.038422,1.481929,-0.954447,-2.643645,0
0.972186,1.006763,0.864124,-0.398841,-0.380663,-0.582224,-0.485144,1.193267,-0.263206,-1.532953,1
0.931145,1.041716,1.117691,-0.947366,-1.134815,-0.949611,-1.336759,1.289701,-0.606822,-2.246201,1
1.717848,2.172097,1.492103,-0.018833,-0.708553,-1.726584,-1.249427,2.201547,-0.487939,-3.794518,0
2.978138,2.422618,1.718288,-0.507647,-0.767593,-1.307014,-1.399587,2.629373,-1.321953,-4.093603,0
1.013688,0.651956,0.52372,-1.045026,-0.769671,-1.120025,-1.572917,1.271615,-0.418819,-2.345406,1
0.531863,0.483284,-0.205224,-0.782147,-1.762694,-0.789441,-0.962729,0.413293,-0.163637,-2.061918,1
0.574772,1.070134,0.835136,-0.248598,-0.818546,-1.136636,-1.229552,0.953795,-0.45877,-2.262775,1
1.333196,1.411895,0.917303,-0.314802,-1.131421,-1.209238,-1.256627,1.750381,-0.337009,-3.838628,0
1.131613,1.214375,0.591293,-0.076808,-1.246316,-0.999347,-1.157914,1.284536,-0.793575,-2.453765,0
-0.042667,0.17147,0.026021,-1.386344,-1.844002,-1.244214,-2.132388,0.138458,-0.245258,-2.645373,1
0.719198,0.552496,0.425651,-0.352469,-1.187515,-0.652725,-1.230542,0.669645,-0.628352,-2.18558,1
0.411643,0.916891,0.530603,-0.295843,-1.505021,-1.466349,-1.568358,0.972671,-0.34654,-3.013725,1
0.888026,0.775377,0.42142,-1.049886,-1.257114,-1.32161,-1.882459,1.071116,-0.573371,-2.833251,1
